problem_id,goal,reference,generated,match
problem_001__ontology,kinetic_energy,2.45e+22,2.4544632611709504e+22,True
problem_001__ontology,mechanical_energy,-2.45e+22,-2.4544632611709504e+22,True
problem_001__single,kinetic_energy,2.45e+22,2.4544632611709504e+22,True
problem_001__single,mechanical_energy,-2.45e+22,-2.4544632611709504e+22,True
problem_002__ontology,orbital_energy_required,115000000000.0,115663833812.0964,True
problem_002__ontology,orbital_velocity,3066.15,3066.151321658319,True
problem_002__ontology,orbital_period,86840.0,86824.99118184928,True
problem_002__single,orbital_energy_required,115000000000.0,115663833812.0964,True
problem_002__single,orbital_velocity,3066.15,3066.151321658319,True
problem_002__single,orbital_period,86840.0,86824.99118184928,True
problem_003__ontology,orbital_velocity,1020.0,1018.4910202516925,True
problem_003__ontology,orbital_period,2370000.0,2368939.0578629915,True
problem_003__single,orbital_velocity,1020.0,1018.4910202516925,True
problem_003__single,orbital_period,2370000.0,2368939.0578629915,True
problem_004__ontology,mass_of_mars,6.43e+23,6.427711010581384e+23,True
problem_004__ontology,surface_gravity_mars,3.73,3.730635170297668,True
problem_004__single,mass_of_mars,6.43e+23,6.427711010581384e+23,True
problem_004__single,surface_gravity_mars,3.73,3.730635170297668,True
problem_005__ontology,mass_of_didymos,535000000000.0,535280523455.96045,True
problem_005__ontology,surface_gravity_didymos,0.000234,0.00023413438508043997,True
problem_005__ontology,gravitational_force_on_dimorphos,1260000.0,1258037.2468283284,True
problem_005__single,mass_of_didymos,535000000000.0,535280523455.96045,True
problem_005__single,surface_gravity_didymos,0.000234,0.00023413438508043997,True
problem_005__single,gravitational_force_on_dimorphos,1260000.0,1258037.2468283284,True
problem_006__ontology,orbital_velocity,7620.0,7619.652060656909,True
problem_006__ontology,orbital_period,5660.0,5665.020228837372,True
problem_006__ontology,initial_velocity_from_surface,8200.0,,False
problem_006__single,orbital_velocity,7620.0,7619.652060656909,True
problem_006__single,orbital_period,5660.0,5665.020228837372,True
problem_006__single,initial_velocity_from_surface,8200.0,,False
problem_007__ontology,orbital_period,20.2,20.227846998843553,True
problem_007__ontology,mechanical_energy,-1400000000.0,-1408750000.0,True
problem_007__ontology,lunar_escape_velocity,2373.8,2373.815494093844,True
problem_007__single,orbital_period,20.2,20.227846998843553,True
problem_007__single,mechanical_energy,-1400000000.0,-1408750000.0,True
problem_007__single,lunar_escape_velocity,2373.8,2373.815494093844,True
problem_008__ontology,acceleration_segment_1,3.0,3.0,True
problem_008__ontology,acceleration_segment_2,0.0,0.0,True
problem_008__ontology,acceleration_segment_3,-2.0,-2.0,True
problem_008__single,acceleration_segment_1,3.0,3.0,True
problem_008__single,acceleration_segment_2,0.0,0.0,True
problem_008__single,acceleration_segment_3,-2.0,-2.0,True
problem_009__ontology,final_velocity,4.2,4.222222222199999,True
problem_009__ontology,distance_covered,79.2,79.33333333319999,True
problem_009__single,final_velocity,4.2,4.222222222199999,True
problem_009__single,distance_covered,79.2,79.33333333319999,True
problem_010__ontology,acceleration,-5.0,-5.0,True
problem_010__ontology,distance_covered,62.5,62.5,True
problem_010__single,acceleration,-5.0,-5.0,True
problem_010__single,distance_covered,62.5,62.5,True
problem_011__ontology,acceleration,3.0,3.0,True
problem_011__ontology,distance_covered,150.0,150.0,True
problem_011__single,acceleration,3.0,3.0,True
problem_011__single,distance_covered,150.0,150.0,True
problem_012__ontology,fall_height,11.5,11.479591836734693,True
problem_012__single,fall_height,11.5,11.479591836734693,True
problem_013__ontology,maximum_height,11.5,11.479591836734693,True
problem_013__ontology,time_to_maximum_height,1.53,1.530612244897959,True
problem_013__single,maximum_height,11.5,11.479591836734693,True
problem_013__single,time_to_maximum_height,1.53,1.530612244897959,True
problem_014__ontology,period,0.1,0.1,True
problem_014__ontology,angular_velocity,62.83,62.83185307179586,True
problem_014__ontology,linear_velocity,31.42,31.41592653589793,True
problem_014__single,period,0.1,0.1,True
problem_014__single,angular_velocity,62.83,62.83185307179586,True
problem_014__single,linear_velocity,31.42,31.41592653589793,True
problem_015__ontology,linear_velocity,0.785,0.7853981633974483,True
problem_015__ontology,centripetal_acceleration,1.23,1.2337005501361697,True
problem_015__ontology,period,4.0,4.0,True
problem_015__ontology,frequency,0.25,0.25,True
problem_015__single,linear_velocity,0.785,0.7853981633974483,True
problem_015__single,centripetal_acceleration,1.23,1.2337005501361697,True
problem_015__single,period,4.0,4.0,True
problem_015__single,frequency,0.25,0.25,True
problem_016__ontology,period,0.2,0.2,True
